,Date,PitcherID,Pitcher,G,GS,IP,H,K,BB,R,HR
323,3/30/2024,669062,Erik Miller,1,0,1.1,1,1,3,3,1
324,3/30/2024,695243,Mason Miller,1,0,1,3,1,1,2,0
325,3/30/2024,571946,Shelby Miller,1,0,2,0,1,0,0,0
326,3/30/2024,571948,Hoby Milner,1,0,0.2,1,0,0,1,1
327,3/30/2024,656786,Parker Mushinski,1,0,1,0,1,0,0,0
328,3/30/2024,677053,Andrew Nardi,1,0,1,4,0,1,4,0
329,3/30/2024,669459,Kyle Nelson,1,0,1,0,0,1,0,0
330,3/30/2024,605400,Aaron Nola,1,1,4.1,11,3,1,6,2
331,3/30/2024,595345,Steven Okert,1,0,1,1,2,1,0,0
332,3/30/2024,656814,Luis Ortiz,1,0,0.2,3,0,0,2,0
333,3/30/2024,493603,Adam Ottavino,1,0,1,3,2,0,1,0
334,3/30/2024,665625,Elvis Peguero,1,0,2,0,0,0,0,0
335,3/30/2024,672335,Cionel P\xc3\xa9rez,1,0,0,2,0,0,2,0
336,3/30/2024,623465,Evan Phillips,1,0,0.1,0,1,0,0,0
337,3/30/2024,621363,Colin Poche,1,0,0.2,2,1,1,1,0
338,3/30/2024,519151,Ryan Pressly,1,0,1,1,2,0,1,1
339,3/30/2024,670990,Yohan Ram\xc3\xadrez,1,0,0.1,0,1,0,0,0
340,3/30/2024,670950,Trevor Richards,1,0,1,2,0,0,0,0
341,3/30/2024,502085,David Robertson,1,0,1,1,0,0,0,0
342,3/30/2024,680570,Grayson Rodriguez,1,1,6,4,9,1,1,1
343,3/30/2024,570257,Joely Rodr\xc3\xadguez,1,0,0.1,2,0,0,1,0
344,3/30/2024,573124,Taylor Rogers,1,0,1.2,2,3,0,1,0
345,3/30/2024,643511,Tyler Rogers,1,0,0.1,0,0,0,0,0
346,3/30/2024,668941,JoJo Romero,1,0,1,2,2,0,1,0
347,3/30/2024,657746,Joe Ryan,1,1,5.1,3,5,1,1,0
348,3/30/2024,664350,Sixto S\xc3\xa1nchez,1,0,2,2,0,0,1,0
349,3/30/2024,680704,Nick Sandlin,1,0,1,0,2,0,0,0
350,3/30/2024,642048,Tayler Saucedo,1,0,0.1,1,0,1,0,0
351,3/30/2024,622250,Josh Sborz,1,0,1,0,1,0,0,0
352,3/30/2024,670167,John Schreiber,1,0,1,1,1,0,0,0
353,3/30/2024,676664,JP Sears,1,1,3.2,6,1,2,5,0
354,3/30/2024,622663,Luis Severino,1,1,5,11,6,0,3,1
355,3/30/2024,608371,Lucas Sims,1,0,1,2,1,0,1,1
356,3/30/2024,686580,Justin Slaten,1,0,0,1,0,0,0,0
357,3/30/2024,671922,Cade Smith,1,0,2,0,5,1,0,0
358,3/30/2024,519293,Will Smith,1,0,1,2,0,2,4,0
359,3/30/2024,647336,Michael Soroka,1,1,5,7,0,3,4,1
360,3/30/2024,642397,Gregory Soto,1,0,1,1,0,0,0,0
361,3/30/2024,642100,Gabe Speier,1,0,1,0,2,0,0,0
362,3/30/2024,592779,Brock Stewart,1,0,1,1,3,0,0,0
